Term,Coef,SE Coef,95% CI,T-Value,P-Value
  Audubon,-0.797,0.413,"(-1.606, 0.012)",-1.93,0.054
  Augusta,-0.997,0.388,"(-1.757, -0.237)",-2.57,0.01
  Aulander,-1.598,0.54,"(-2.656, -0.539)",-2.96,0.003
  Ault,0.035,0.54,"(-1.022, 1.093)",0.07,0.948
  Aumsville,-0.882,0.389,"(-1.644, -0.120)",-2.27,0.023
  Aurora,-0.838,0.383,"(-1.589, -0.088)",-2.19,0.029
  Austell,-1.401,0.394,"(-2.174, -0.629)",-3.55,0
  Austin,-0.909,0.384,"(-1.663, -0.156)",-2.37,0.018
  Austinville,-1.495,0.468,"(-2.412, -0.578)",-3.2,0.001
  Avenal,-0.866,0.394,"(-1.639, -0.094)",-2.2,0.028
  Avenel,-0.66,0.54,"(-1.717, 0.398)",-1.22,0.222
  Avoca,-0.815,0.471,"(-1.738, 0.107)",-1.73,0.083
  Avon,-0.69,0.392,"(-1.458, 0.078)",-1.76,0.078
  Avon Park,0.601,0.468,"(-0.317, 1.519)",1.28,0.199
  Avondale,-1.397,0.468,"(-2.314, -0.480)",-2.98,0.003
  Avondale Estates,-1.643,0.428,"(-2.481, -0.804)",-3.84,0
  Aylett,-0.016,0.427,"(-0.853, 0.822)",-0.04,0.971
  Azalea,-0.947,0.387,"(-1.705, -0.189)",-2.45,0.014
  Azusa,-0.815,0.383,"(-1.567, -0.064)",-2.13,0.033
  Backus,-0.857,0.405,"(-1.651, -0.062)",-2.11,0.035
  Baconton,0.17,0.468,"(-0.748, 1.087)",0.36,0.717
  Baden,-0.065,0.54,"(-1.124, 0.995)",-0.12,0.905
  Badger,-0.975,0.539,"(-2.031, 0.082)",-1.81,0.071
  Bagley,-0.809,0.419,"(-1.629, 0.012)",-1.93,0.053
  Bailey,-0.846,0.428,"(-1.684, -0.008)",-1.98,0.048
  Bainbridge,0.087,0.468,"(-0.831, 1.004)",0.18,0.853
  Baker City,-0.844,0.384,"(-1.596, -0.092)",-2.2,0.028
  Bakersfield,-0.859,0.383,"(-1.609, -0.109)",-2.25,0.025
  Bala Cynwyd,0.129,0.54,"(-0.930, 1.188)",0.24,0.812
  Balaton,-0.762,0.539,"(-1.818, 0.295)",-1.41,0.158
  Balch Springs,-0.809,0.404,"(-1.600, -0.018)",-2,0.045
  Baldwin,-1.6,0.441,"(-2.464, -0.737)",-3.63,0
  Baldwin Park,-0.844,0.383,"(-1.594, -0.094)",-2.21,0.027
  Baldwinsville,0.511,0.427,"(-0.327, 1.349)",1.2,0.232
  Ball Ground,0.12,0.428,"(-0.718, 0.958)",0.28,0.779
  Ballard,-0.815,0.441,"(-1.679, 0.050)",-1.85,0.065
  Ballico,-0.879,0.441,"(-1.743, -0.014)",-1.99,0.046
  Ballston Lake,-1.374,0.419,"(-2.195, -0.553)",-3.28,0.001
  Ballston Spa,-0.178,0.396,"(-0.954, 0.598)",-0.45,0.652
  Ballwin,0.423,0.471,"(-0.499, 1.346)",0.9,0.369
  Baltimore,-0.676,0.407,"(-1.474, 0.122)",-1.66,0.097
  Bancroft,-1.8,0.468,"(-2.717, -0.884)",-3.85,0
  Bandon,-0.785,0.385,"(-1.540, -0.030)",-2.04,0.041
  Bangor,-0.435,0.393,"(-1.205, 0.336)",-1.11,0.269
  Banks,-0.735,0.386,"(-1.491, 0.021)",-1.91,0.057
  Baraboo,-2.038,0.465,"(-2.950, -1.126)",-4.38,0
  Barboursville,-0.581,0.429,"(-1.421, 0.260)",-1.35,0.176
  Barker,0.517,0.539,"(-0.540, 1.574)",0.96,0.338
  Barkhamsted,0.424,0.428,"(-0.415, 1.263)",0.99,0.322
  Barnegat,-0.808,0.54,"(-1.866, 0.250)",-1.5,0.134
  Barnesville,-0.36,0.446,"(-1.233, 0.514)",-0.81,0.419
  Barney,0.097,0.428,"(-0.742, 0.935)",0.23,0.821
  Barnum,-0.819,0.397,"(-1.597, -0.041)",-2.06,0.039
  Barrett,-0.767,0.467,"(-1.683, 0.149)",-1.64,0.101
  Barrington,-0.965,0.387,"(-1.723, -0.206)",-2.49,0.013
  Barryville,0.403,0.468,"(-0.514, 1.320)",0.86,0.389
  Barstow,-0.903,0.386,"(-1.661, -0.146)",-2.34,0.019
  Bartlett,-1.441,0.409,"(-2.243, -0.639)",-3.52,0
  Barton City,0.15,0.469,"(-0.769, 1.069)",0.32,0.748
  Basking Ridge,-0.481,0.419,"(-1.302, 0.341)",-1.15,0.252
  Basom,0.021,0.539,"(-1.036, 1.078)",0.04,0.969
  Bassett,-0.385,0.468,"(-1.302, 0.531)",-0.82,0.41
  Bastrop,-1.657,0.54,"(-2.715, -0.599)",-3.07,0.002
  Batavia,-2.281,0.468,"(-3.197, -1.364)",-4.87,0
  Bates,-0.91,0.405,"(-1.704, -0.115)",-2.24,0.025
  Bates City,-0.493,0.444,"(-1.364, 0.378)",-1.11,0.268
  Batesville,-0.181,0.409,"(-0.983, 0.622)",-0.44,0.659
  Bath,-0.396,0.419,"(-1.216, 0.425)",-0.95,0.345
  Baton Rouge,-0.959,0.391,"(-1.725, -0.193)",-2.45,0.014
  Battle Creek,-1.167,0.397,"(-1.945, -0.388)",-2.94,0.003
  Battle Ground,-0.622,0.419,"(-1.444, 0.200)",-1.48,0.138
  Battle Lake,-0.77,0.467,"(-1.686, 0.146)",-1.65,0.1
  Battleboro,-1.629,0.54,"(-2.688, -0.571)",-3.02,0.003
  Baudette,-0.883,0.428,"(-1.722, -0.045)",-2.07,0.039
  Baxter,-0.744,0.397,"(-1.522, 0.034)",-1.88,0.061
  Bay City,-0.683,0.387,"(-1.442, 0.075)",-1.77,0.078
  Bay Minette,-1.131,0.42,"(-1.955, -0.307)",-2.69,0.007
  Bay Point,-0.875,0.397,"(-1.653, -0.098)",-2.21,0.027
  Bay Shore,-0.569,0.396,"(-1.345, 0.207)",-1.44,0.151
  Bayfield,-0.099,0.54,"(-1.156, 0.959)",-0.18,0.855
  Bayonne,-0.864,0.428,"(-1.703, -0.025)",-2.02,0.043
  Bayport,-0.843,0.441,"(-1.707, 0.022)",-1.91,0.056
  Bayside,-0.503,0.468,"(-1.420, 0.413)",-1.08,0.282
  Beach Park,-1.279,0.419,"(-2.100, -0.458)",-3.05,0.002
  Beacon,-1.394,0.419,"(-2.215, -0.574)",-3.33,0.001
  Bealeton,-0.708,0.441,"(-1.573, 0.157)",-1.6,0.109
  Bear,-1.92,0.445,"(-2.792, -1.048)",-4.32,0
  Beasley,0.295,0.54,"(-0.763, 1.353)",0.55,0.584
  Beatty,-0.849,0.391,"(-1.615, -0.084)",-2.17,0.03
  Beaumont,-0.589,0.468,"(-1.507, 0.328)",-1.26,0.208
  Beaver,-0.915,0.386,"(-1.671, -0.158)",-2.37,0.018
  Beaver Dam,-0.142,0.439,"(-1.002, 0.718)",-0.32,0.746
  Beaverton,-0.552,0.384,"(-1.304, 0.201)",-1.44,0.151
  Becker,-0.805,0.399,"(-1.588, -0.022)",-2.02,0.044
  Beckley,-0.638,0.47,"(-1.560, 0.284)",-1.36,0.175
  Beckwourth,-0.919,0.405,"(-1.714, -0.125)",-2.27,0.023
  Bedford,-0.92,0.39,"(-1.684, -0.156)",-2.36,0.018
  Bedford Hills,-1.459,0.441,"(-2.323, -0.594)",-3.31,0.001
  Bedminster,-1.675,0.468,"(-2.592, -0.757)",-3.58,0
  Beech Grove,-1.309,0.468,"(-2.227, -0.391)",-2.79,0.005
  Beechgrove,-1.737,0.468,"(-2.655, -0.819)",-3.71,0
  Bejou,-0.782,0.539,"(-1.839, 0.274)",-1.45,0.147
  Bel Air,-0.224,0.42,"(-1.047, 0.600)",-0.53,0.594
  Bel Alton,0.142,0.54,"(-0.917, 1.201)",0.26,0.793
  Belcamp,-1.337,0.429,"(-2.178, -0.497)",-3.12,0.002
  Belden,-0.904,0.467,"(-1.820, 0.012)",-1.93,0.053
  Belfair,-0.051,0.414,"(-0.862, 0.759)",-0.12,0.901
  Belford,0.326,0.468,"(-0.592, 1.243)",0.7,0.486
  Belgrade,-0.789,0.403,"(-1.579, 0.001)",-1.96,0.05
  Bell,-0.903,0.427,"(-1.740, -0.066)",-2.12,0.034
  Bell Gardens,-0.847,0.384,"(-1.599, -0.095)",-2.21,0.027
  Bella Vista,-0.868,0.393,"(-1.638, -0.098)",-2.21,0.027
  Bellaire,-0.615,0.398,"(-1.396, 0.166)",-1.54,0.123
  Belle,0.034,0.43,"(-0.809, 0.878)",0.08,0.937
  Belle Plaine,-0.794,0.403,"(-1.583, -0.004)",-1.97,0.049
  Bellefonte,-1.312,0.42,"(-2.135, -0.489)",-3.12,0.002
  Bellerose,-0.99,0.403,"(-1.780, -0.199)",-2.45,0.014
  Belleview,0.575,0.442,"(-0.291, 1.441)",1.3,0.193
  Belleville,-0.518,0.407,"(-1.317, 0.281)",-1.27,0.204
  Bellevue,-0.636,0.385,"(-1.391, 0.119)",-1.65,0.099
  Bellflower,-0.876,0.384,"(-1.628, -0.123)",-2.28,0.023
  Bellingham,-0.405,0.39,"(-1.170, 0.359)",-1.04,0.299
  Bellmawr,-1.044,0.389,"(-1.807, -0.281)",-2.68,0.007
  Bellmore,-1.205,0.419,"(-2.026, -0.385)",-2.88,0.004
  Bellwood,-0.67,0.441,"(-1.536, 0.195)",-1.52,0.129
  Belmar,-1.301,0.419,"(-2.123, -0.479)",-3.1,0.002
  Belmont,-0.893,0.386,"(-1.649, -0.137)",-2.32,0.021
  Beloit,-1.203,0.416,"(-2.019, -0.388)",-2.89,0.004
  Belton,-0.704,0.412,"(-1.511, 0.104)",-1.71,0.088
  Beltsville,-1.119,0.397,"(-1.898, -0.340)",-2.82,0.005
  Belvedere Tiburon,-0.875,0.403,"(-1.665, -0.085)",-2.17,0.03
  Belvidere,-0.667,0.54,"(-1.725, 0.390)",-1.24,0.216
  Belview,-0.735,0.539,"(-1.792, 0.321)",-1.36,0.173
  Bemidji,-0.798,0.387,"(-1.556, -0.039)",-2.06,0.039
  Ben Lomond,-0.837,0.393,"(-1.608, -0.066)",-2.13,0.033
  Bena,-0.816,0.419,"(-1.636, 0.005)",-1.95,0.051
  Bend,-0.803,0.383,"(-1.553, -0.052)",-2.1,0.036
  Benicia,-0.86,0.387,"(-1.618, -0.102)",-2.23,0.026
  Bennett,-0.634,0.404,"(-1.425, 0.157)",-1.57,0.116
  Bensalem,-1.451,0.41,"(-2.255, -0.647)",-3.54,0
  Bensenville,-1.246,0.428,"(-2.084, -0.407)",-2.91,0.004
  Benson,-1.052,0.409,"(-1.853, -0.251)",-2.57,0.01
  Benton,-0.483,0.395,"(-1.257, 0.292)",-1.22,0.222
  Benton Harbor,-1.111,0.394,"(-1.884, -0.337)",-2.82,0.005
  Bentonville,-1.166,0.444,"(-2.036, -0.296)",-2.63,0.009
  Berkeley,-0.853,0.383,"(-1.604, -0.102)",-2.23,0.026
  Berkeley Heights,-1.598,0.468,"(-2.516, -0.681)",-3.41,0.001
  Berkshire,-1.405,0.539,"(-2.462, -0.348)",-2.61,0.009
  Berlin,-0.562,0.412,"(-1.370, 0.246)",-1.36,0.173
  Berlin Heights,-1.325,0.469,"(-2.244, -0.406)",-2.83,0.005
  Berne,0.108,0.469,"(-0.811, 1.027)",0.23,0.819
  Berrien Springs,-0.808,0.468,"(-1.724, 0.109)",-1.73,0.084
  Berry Creek,-0.831,0.539,"(-1.888, 0.225)",-1.54,0.123
  Berryville,0.383,0.409,"(-0.418, 1.185)",0.94,0.349
  Bertha,-0.768,0.539,"(-1.824, 0.289)",-1.42,0.154
  Berthoud,-0.256,0.397,"(-1.035, 0.523)",-0.64,0.52
  Berwyn,-1.38,0.413,"(-2.190, -0.570)",-3.34,0.001
  Beryl,-0.886,0.427,"(-1.724, -0.048)",-2.07,0.038
  Bessemer,-1.185,0.469,"(-2.105, -0.266)",-2.53,0.012
  Bessemer City,0.078,0.54,"(-0.980, 1.136)",0.14,0.885
  Bethany,0.545,0.468,"(-0.373, 1.462)",1.16,0.245
  Bethel,-0.094,0.469,"(-1.013, 0.825)",-0.2,0.841
  Bethesda,-1.128,0.39,"(-1.892, -0.364)",-2.89,0.004
  Bethlehem,-0.628,0.429,"(-1.468, 0.212)",-1.47,0.143
  Bethpage,-0.898,0.427,"(-1.736, -0.061)",-2.1,0.035
  Bethune,0.735,0.54,"(-0.325, 1.794)",1.36,0.174
  Beulaville,-0.606,0.54,"(-1.664, 0.452)",-1.12,0.262
  Beverly,-0.469,0.419,"(-1.290, 0.352)",-1.12,0.263
  Beverly Hills,-0.854,0.539,"(-1.910, 0.202)",-1.58,0.113
  Biddeford,-0.774,0.429,"(-1.614, 0.066)",-1.81,0.071
  Big Bar,-0.861,0.441,"(-1.725, 0.003)",-1.95,0.051
  Big Bend,-2.011,0.465,"(-2.923, -1.099)",-4.32,0
  Big Falls,-0.773,0.539,"(-1.830, 0.283)",-1.43,0.152
  Big Pine,-0.58,0.413,"(-1.389, 0.229)",-1.4,0.16
  Big Pine Key,0.645,0.54,"(-0.413, 1.703)",1.19,0.232
  Big Pool,-1.251,0.414,"(-2.063, -0.439)",-3.02,0.003
  Big Spring,-1.648,0.468,"(-2.566, -0.731)",-3.52,0
  Big Sur,-0.884,0.388,"(-1.645, -0.124)",-2.28,0.023
  Bigfork,-0.958,0.442,"(-1.825, -0.091)",-2.17,0.03
  Biggs,-0.854,0.427,"(-1.691, -0.017)",-2,0.045
  Billings,-1.357,0.551,"(-2.436, -0.278)",-2.46,0.014
  Biloxi,-1.217,0.47,"(-2.138, -0.295)",-2.59,0.01
  Bingham Canyon,-0.965,0.468,"(-1.882, -0.048)",-2.06,0.039
  Bingham Lake,-0.808,0.468,"(-1.725, 0.108)",-1.73,0.084
  Binghamton,-0.417,0.409,"(-1.219, 0.384)",-1.02,0.307
  Birch Run,-1.141,0.468,"(-2.058, -0.224)",-2.44,0.015
  Bird Island,-1.189,0.419,"(-2.010, -0.368)",-2.84,0.005
  Birdsboro,0.197,0.54,"(-0.862, 1.256)",0.37,0.715
  Birdseye,0.266,0.54,"(-0.792, 1.325)",0.49,0.622
  Birmingham,-0.557,0.39,"(-1.321, 0.207)",-1.43,0.153
  Birnamwood,-0.05,0.465,"(-0.962, 0.862)",-0.11,0.915
  Biscoe,-0.734,0.419,"(-1.556, 0.088)",-1.75,0.08
  Bishop,-0.872,0.388,"(-1.633, -0.112)",-2.25,0.025
  Bishopville,-0.661,0.428,"(-1.500, 0.178)",-1.54,0.123
  Biwabik,-0.853,0.441,"(-1.718, 0.011)",-1.93,0.053
  Black Canyon City,-0.917,0.428,"(-1.756, -0.077)",-2.14,0.032
  Black Creek,-1.08,0.537,"(-2.134, -0.027)",-2.01,0.044
  Black Hawk,-1.335,0.468,"(-2.252, -0.417)",-2.85,0.004
  Black Mountain,-1.933,0.54,"(-2.991, -0.875)",-3.58,0
  Black River,0.594,0.539,"(-0.463, 1.651)",1.1,0.271
  Black River Falls,0,0.465,"(-0.913, 0.912)",0,0.999
  Blackduck,-0.806,0.441,"(-1.671, 0.058)",-1.83,0.068
  Blackfoot,-1.015,0.475,"(-1.947, -0.083)",-2.13,0.033
  Blacksburg,-0.618,0.429,"(-1.458, 0.223)",-1.44,0.15
  Blackwell,0.346,0.762,"(-1.147, 1.839)",0.45,0.649
  Blackwood,-0.736,0.393,"(-1.506, 0.033)",-1.88,0.061
  Blaine,-0.541,0.468,"(-1.459, 0.376)",-1.16,0.248
  Blairsden Graeagle,-0.882,0.394,"(-1.653, -0.110)",-2.24,0.025
  Blairstown,-0.694,0.54,"(-1.752, 0.363)",-1.29,0.198
  Blakeslee,-0.359,0.541,"(-1.419, 0.701)",-0.66,0.507
  Blanca,0.121,0.468,"(-0.796, 1.039)",0.26,0.795
  Blanchard,-1.397,0.713,"(-2.794, 0.000)",-1.96,0.05
  Bland,-1.382,0.539,"(-2.439, -0.325)",-2.56,0.01
  Blandford,-0.749,0.443,"(-1.617, 0.119)",-1.69,0.091
  Blauvelt,-1.31,0.539,"(-2.367, -0.253)",-2.43,0.015
  Blodgett,-0.783,0.388,"(-1.544, -0.022)",-2.02,0.044
  Blomkest,-0.768,0.539,"(-1.825, 0.288)",-1.43,0.154
  Bloomfield,-1.535,0.392,"(-2.304, -0.766)",-3.91,0
  Bloomfield Hills,-0.311,0.468,"(-1.228, 0.605)",-0.67,0.506
  Blooming Prairie,-0.808,0.399,"(-1.591, -0.026)",-2.02,0.043
  Bloomingdale,-0.829,0.413,"(-1.638, -0.020)",-2.01,0.045
  Bloomington,-0.873,0.383,"(-1.624, -0.122)",-2.28,0.023
  Bloomsburg,-0.069,0.54,"(-1.128, 0.990)",-0.13,0.898
  Bloomsbury,-1.749,0.54,"(-2.807, -0.691)",-3.24,0.001
  Blountville,0.438,0.54,"(-0.620, 1.496)",0.81,0.417
  Blue Bell,-1.892,0.469,"(-2.811, -0.973)",-4.03,0
  Blue Earth,-0.792,0.395,"(-1.566, -0.018)",-2,0.045
  Blue Island,-0.717,0.54,"(-1.774, 0.341)",-1.33,0.184
  Blue Jay,-0.902,0.467,"(-1.818, 0.014)",-1.93,0.054
  Blue Lake,-0.877,0.391,"(-1.643, -0.110)",-2.24,0.025
  Blue Mountain,-0.239,0.47,"(-1.160, 0.682)",-0.51,0.611
  Blue River,-0.773,0.383,"(-1.524, -0.022)",-2.02,0.044
  Blue Springs,-0.972,0.399,"(-1.754, -0.189)",-2.43,0.015
  Bluefield,-1.154,0.542,"(-2.215, -0.092)",-2.13,0.033
  Bluffton,-0.644,0.413,"(-1.454, 0.166)",-1.56,0.119
  Bly,-0.881,0.467,"(-1.797, 0.035)",-1.89,0.059
  Blythe,-0.719,0.391,"(-1.484, 0.047)",-1.84,0.066
  Boalsburg,-0.889,0.469,"(-1.808, 0.030)",-1.9,0.058
  Boardman,-0.858,0.385,"(-1.613, -0.103)",-2.23,0.026
  Boca Raton,-0.773,0.389,"(-1.536, -0.011)",-1.99,0.047
  Bodega,-0.63,0.427,"(-1.467, 0.207)",-1.47,0.14
  Bodega Bay,-0.579,0.398,"(-1.359, 0.201)",-1.46,0.145
  Bodfish,-0.881,0.427,"(-1.718, -0.044)",-2.06,0.039
  Boerne,-0.325,0.414,"(-1.135, 0.486)",-0.79,0.432
  Bohemia,-0.527,0.441,"(-1.392, 0.337)",-1.2,0.232
  Boiling Springs,0.157,0.469,"(-0.762, 1.076)",0.34,0.737
  Boise,-0.629,0.409,"(-1.430, 0.171)",-1.54,0.123
  Bolinas,-0.867,0.427,"(-1.704, -0.030)",-2.03,0.042
  Bolingbrook,-0.733,0.396,"(-1.510, 0.043)",-1.85,0.064
  Bolton,0.424,0.428,"(-0.415, 1.262)",0.99,0.322
  Bon Aqua,0.668,0.54,"(-0.390, 1.726)",1.24,0.216
  Bonaire,0.111,0.428,"(-0.728, 0.949)",0.26,0.796
  Bonanza,-0.835,0.387,"(-1.594, -0.077)",-2.16,0.031
  Bond,-1.045,0.54,"(-2.102, 0.013)",-1.94,0.053
  Bonduel,-0.007,0.465,"(-0.919, 0.905)",-0.02,0.988
  Bonifay,0.617,0.54,"(-0.441, 1.676)",1.14,0.253
  Bonita Springs,-1.418,0.428,"(-2.257, -0.579)",-3.31,0.001
  Bonner Springs,-1.564,0.446,"(-2.438, -0.690)",-3.51,0
  Bonners Ferry,-0.92,0.436,"(-1.774, -0.066)",-2.11,0.035
  Bonnieville,0.175,0.444,"(-0.695, 1.046)",0.4,0.693
  Bonsall,-0.917,0.389,"(-1.679, -0.155)",-2.36,0.018
  Boone,-0.843,0.54,"(-1.900, 0.215)",-1.56,0.118
  Boones Mill,-0.37,0.468,"(-1.287, 0.546)",-0.79,0.429
  Boonton,-0.899,0.419,"(-1.721, -0.077)",-2.14,0.032
  Boonville,-0.904,0.467,"(-1.820, 0.012)",-1.94,0.053
  Bordentown,-1.285,0.4,"(-2.070, -0.501)",-3.21,0.001
  Boring,-0.472,0.388,"(-1.232, 0.287)",-1.22,0.223
  Boron,-0.841,0.39,"(-1.604, -0.077)",-2.16,0.031
  Boscobel,-0.24,0.465,"(-1.152, 0.672)",-0.52,0.605
  Bosque Farms,-1.724,0.555,"(-2.811, -0.636)",-3.11,0.002
  Bossier City,-0.72,0.414,"(-1.531, 0.091)",-1.74,0.082
  Boston,-0.736,0.396,"(-1.512, 0.039)",-1.86,0.063
  Boswell,-0.126,0.469,"(-1.046, 0.793)",-0.27,0.788
  Bothell,-0.934,0.391,"(-1.701, -0.168)",-2.39,0.017
  Boulder,-0.803,0.391,"(-1.570, -0.036)",-2.05,0.04
  Boulder Creek,-0.798,0.387,"(-1.557, -0.039)",-2.06,0.039
  Bound Brook,-0.709,0.468,"(-1.626, 0.209)",-1.51,0.13
  Bountiful,-0.797,0.388,"(-1.558, -0.036)",-2.05,0.04
  Bourg,0.36,0.543,"(-0.705, 1.424)",0.66,0.508
  Bouse,-0.465,0.442,"(-1.332, 0.402)",-1.05,0.293
  Boutte,-1.281,0.432,"(-2.128, -0.435)",-2.97,0.003
  Bovey,-0.804,0.413,"(-1.613, 0.005)",-1.95,0.051
  Bow,-0.953,0.404,"(-1.744, -0.162)",-2.36,0.018
  Bowdoinham,-0.873,0.42,"(-1.696, -0.049)",-2.08,0.038
  Bowie,-0.834,0.4,"(-1.618, -0.051)",-2.09,0.037
  Bowling Green,-0.414,0.409,"(-1.216, 0.387)",-1.01,0.311
  Bowman,-0.613,0.403,"(-1.402, 0.176)",-1.52,0.128
  Boyce,0.087,0.472,"(-0.838, 1.012)",0.18,0.854
  Boyds,-0.694,0.429,"(-1.534, 0.146)",-1.62,0.105
  Boydton,-0.346,0.468,"(-1.263, 0.570)",-0.74,0.459
  Boyne Falls,-0.602,0.539,"(-1.659, 0.455)",-1.12,0.264
  Boynton Beach,-1,0.388,"(-1.762, -0.239)",-2.58,0.01
  Boys Town,-1.548,0.444,"(-2.419, -0.677)",-3.48,0
  Bozeman,-0.814,0.481,"(-1.756, 0.128)",-1.69,0.09
  Bozrah,0.348,0.54,"(-0.710, 1.406)",0.64,0.519
  Bracey,-2.016,0.539,"(-3.074, -0.959)",-3.74,0
  Braddyville,0.652,0.444,"(-0.219, 1.523)",1.47,0.142
  Bradenton,-0.713,0.386,"(-1.470, 0.045)",-1.84,0.065
  Bradley,-0.905,0.408,"(-1.706, -0.104)",-2.22,0.027
  Brady,-1.826,0.542,"(-2.888, -0.764)",-3.37,0.001
  Braham,-0.751,0.467,"(-1.667, 0.166)",-1.61,0.108
  Brainerd,-0.773,0.386,"(-1.530, -0.016)",-2,0.045
  Braintree,-0.958,0.541,"(-2.017, 0.102)",-1.77,0.077
  Branchville,0.326,0.414,"(-0.484, 1.137)",0.79,0.43
  Brandon,-1.075,0.406,"(-1.870, -0.280)",-2.65,0.008
  Brandywine,-0.835,0.442,"(-1.702, 0.032)",-1.89,0.059
  Branford,-1.255,0.404,"(-2.047, -0.464)",-3.11,0.002
  Brantley,-1.184,0.541,"(-2.243, -0.125)",-2.19,0.028
  Brattleboro,-0.775,0.543,"(-1.839, 0.290)",-1.43,0.154
  Brazil,-1.266,0.428,"(-2.106, -0.427)",-2.96,0.003
  Brea,-0.85,0.383,"(-1.601, -0.099)",-2.22,0.027
  Breaux Bridge,-0.972,0.397,"(-1.749, -0.194)",-2.45,0.014
  Breckenridge,-0.619,0.468,"(-1.536, 0.299)",-1.32,0.186
  Brecksville,-1.731,0.54,"(-2.790, -0.672)",-3.2,0.001
  Breezewood,-1.366,0.41,"(-2.170, -0.562)",-3.33,0.001
  Bremen,-0.571,0.428,"(-1.410, 0.267)",-1.34,0.182
  Bremerton,-0.26,0.391,"(-1.026, 0.506)",-0.67,0.506
  Brentwood,-0.915,0.385,"(-1.669, -0.161)",-2.38,0.017
  Brewer,-0.866,0.54,"(-1.925, 0.193)",-1.6,0.109
  Brewster,-0.853,0.39,"(-1.618, -0.088)",-2.19,0.029
  Brewton,-1.092,0.469,"(-2.012, -0.173)",-2.33,0.02
  Brian Head,-0.796,0.539,"(-1.853, 0.261)",-1.48,0.14
  Briarcliff Manor,-1.027,0.441,"(-1.892, -0.163)",-2.33,0.02
  Brick,-0.885,0.402,"(-1.673, -0.098)",-2.2,0.028
  Bridal Veil,-0.763,0.396,"(-1.538, 0.013)",-1.93,0.054
  Bridgeport,-0.712,0.388,"(-1.473, 0.049)",-1.83,0.067
  Bridgeton,-0.268,0.396,"(-1.044, 0.508)",-0.68,0.499
  Bridgeview,-1.275,0.413,"(-2.085, -0.465)",-3.09,0.002
  Bridgeville,-0.798,0.396,"(-1.573, -0.022)",-2.02,0.044
  Bridgewater,-1.183,0.441,"(-2.048, -0.318)",-2.68,0.007
  Bridgman,-1.304,0.441,"(-2.168, -0.439)",-2.95,0.003
  Brielle,-0.639,0.54,"(-1.697, 0.418)",-1.18,0.236
  Brighton,-0.603,0.387,"(-1.362, 0.155)",-1.56,0.119
  Brightwood,-0.809,0.419,"(-1.629, 0.011)",-1.93,0.053
  Brimfield,-0.61,0.442,"(-1.475, 0.256)",-1.38,0.168
  Brinkley,-0.57,0.444,"(-1.440, 0.300)",-1.28,0.199
  Brinklow,0.134,0.54,"(-0.925, 1.193)",0.25,0.803
  Brinnon,-0.372,0.414,"(-1.182, 0.439)",-0.9,0.369
  Brisbane,-0.812,0.391,"(-1.578, -0.045)",-2.08,0.038
  Bristol,-0.377,0.413,"(-1.186, 0.433)",-0.91,0.362
  Bristow,0.523,0.539,"(-0.534, 1.580)",0.97,0.333
  Britt,-0.853,0.467,"(-1.769, 0.063)",-1.82,0.068
  Britton,0.343,0.468,"(-0.573, 1.260)",0.73,0.463
  Broad Brook,0.571,0.469,"(-0.349, 1.490)",1.22,0.224
  Broad Run,-0.452,0.539,"(-1.509, 0.605)",-0.84,0.402
  Broadview,-0.676,0.54,"(-1.733, 0.382)",-1.25,0.21
  Broadview Heights,0.096,0.54,"(-0.963, 1.155)",0.18,0.859
  Broadway,-0.659,0.441,"(-1.524, 0.206)",-1.49,0.135
  Brockport,0.445,0.441,"(-0.420, 1.310)",1.01,0.313
  Brockton,-1.081,0.541,"(-2.141, -0.021)",-2,0.046
  Brodhead,-0.164,0.465,"(-1.076, 0.748)",-0.35,0.724
  Brodnax,-1.461,0.468,"(-2.378, -0.545)",-3.12,0.002
  Brogan,-0.876,0.441,"(-1.740, -0.012)",-1.99,0.047
  Bronx,-1.046,0.383,"(-1.798, -0.295)",-2.73,0.006
  Bronxville,-1.152,0.401,"(-1.939, -0.366)",-2.87,0.004
  Brook Park,-0.805,0.394,"(-1.577, -0.032)",-2.04,0.041
  Brookeville,0.177,0.442,"(-0.691, 1.044)",0.4,0.69
  Brookfield,-1.335,0.4,"(-2.120, -0.550)",-3.33,0.001
  Brookings,-0.831,0.384,"(-1.584, -0.078)",-2.16,0.03
  Brooklet,-1.993,0.54,"(-3.052, -0.933)",-3.69,0
  Brooklyn,-0.966,0.384,"(-1.719, -0.214)",-2.52,0.012
  Brookpark,-1.84,0.443,"(-2.707, -0.973)",-4.16,0
  Brooks,-0.932,0.441,"(-1.796, -0.068)",-2.11,0.035
  Brookshire,-0.022,0.399,"(-0.804, 0.759)",-0.06,0.955
  Brookston,-0.754,0.441,"(-1.618, 0.111)",-1.71,0.087
  Brooksville,-1.036,0.407,"(-1.833, -0.239)",-2.55,0.011
  Brookville,-0.244,0.469,"(-1.163, 0.675)",-0.52,0.603
  Broomfield,-0.94,0.387,"(-1.699, -0.181)",-2.43,0.015
  Brooten,-0.853,0.468,"(-1.769, 0.064)",-1.82,0.068
  Brothers,-0.926,0.387,"(-1.684, -0.168)",-2.39,0.017
  Browerville,-0.869,0.441,"(-1.733, -0.005)",-1.97,0.049
  Browns Mills,0.284,0.468,"(-0.634, 1.201)",0.61,0.545
